epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.5068497061729431,0.5087684988975525,0.6931907534599304,0.5123188495635986,0.5180004835128784,0.692392885684967
1,0.5244088768959045,0.5352795720100403,0.6907296180725098,0.5427536368370056,0.5650410056114197,0.6868110299110413
2,0.5702898502349854,0.5968660712242126,0.6789883375167847,0.5863767862319946,0.6232472658157349,0.6704143285751343
3,0.6070785522460938,0.6481706500053406,0.6588522791862488,0.6321738958358765,0.6845566034317017,0.6478705406188965
4,0.6429367065429688,0.6949962973594666,0.6329411864280701,0.6588405966758728,0.7191107273101807,0.6257358193397522
5,0.6579557657241821,0.7157784700393677,0.618586003780365,0.6639130711555481,0.7315189242362976,0.6279475092887878
6,0.6708924770355225,0.7335111498832703,0.6053643822669983,0.6321738958358765,0.7410278916358948,0.7171890735626221
7,0.6755911707878113,0.7397106289863586,0.600211501121521,0.692463755607605,0.7621832489967346,0.590238630771637
8,0.6863081455230713,0.7549654841423035,0.5869580507278442,0.7052174210548401,0.7734587788581848,0.5748935341835022
9,0.6944698691368103,0.7648937702178955,0.5779990553855896,0.7115942239761353,0.7818676233291626,0.563662588596344
10,0.7018916606903076,0.7741857171058655,0.568771243095398,0.7152174115180969,0.7890002131462097,0.5648680329322815
11,0.7083829045295715,0.7814573645591736,0.5615031123161316,0.7095652222633362,0.790402889251709,0.5603561401367188
12,0.7135240435600281,0.7888405919075012,0.5536444187164307,0.730434775352478,0.80226731300354,0.5411547422409058
13,0.7196186184883118,0.7953400611877441,0.5467618703842163,0.7279710173606873,0.8036528825759888,0.5473905205726624
14,0.7257971167564392,0.8021205067634583,0.53919917345047,0.7378261089324951,0.8126007318496704,0.5302832126617432
15,0.7294660806655884,0.8076242804527283,0.5325531959533691,0.7402898669242859,0.814406156539917,0.5285571813583374
16,0.7342715263366699,0.8138245344161987,0.5252824425697327,0.7340579628944397,0.8172909617424011,0.5290623903274536
17,0.7372006177902222,0.8160049915313721,0.522515058517456,0.7285507321357727,0.8195592761039734,0.5297701358795166
18,0.7409077286720276,0.8214859366416931,0.515674889087677,0.7455072402954102,0.8222018480300903,0.5183020234107971
19,0.7443249225616455,0.8249303102493286,0.5112681984901428,0.7453623414039612,0.8237907886505127,0.5146700739860535
20,0.7476277947425842,0.8283075094223022,0.5071133375167847,0.7440579533576965,0.8261788487434387,0.5179768204689026
21,0.7506331205368042,0.8325327634811401,0.5012449026107788,0.7352173924446106,0.8266962766647339,0.5319147109985352
22,0.7533409595489502,0.8346129059791565,0.49884966015815735,0.7328985333442688,0.827777087688446,0.5223709940910339
23,0.7551335096359253,0.8376303911209106,0.494367778301239,0.7485507130622864,0.8298094272613525,0.5123658776283264
24,0.7571091055870056,0.8405193090438843,0.4905445873737335,0.7486956715583801,0.8317868113517761,0.5088199973106384
25,0.7609992623329163,0.8451086282730103,0.48409682512283325,0.7481159567832947,0.8310616612434387,0.5129814743995667
26,0.7635850310325623,0.8483721613883972,0.4791356325149536,0.7515941858291626,0.8323238492012024,0.5132601261138916
27,0.765873372554779,0.8504539728164673,0.476296991109848,0.7523188591003418,0.8314222097396851,0.5064941644668579
28,0.769893229007721,0.8547176122665405,0.47022226452827454,0.7456521987915039,0.8299424648284912,0.5111061930656433
29,0.772364616394043,0.8579788208007812,0.46562254428863525,0.7442029118537903,0.827251136302948,0.5171575546264648
