,loss,accuracy,val_loss,val_accuracy
0,0.6901711821556091,0.5409147143363953,0.6726208925247192,0.6579064726829529
1,0.6897944808006287,0.5431108474731445,0.6713777184486389,0.6556792855262756
2,0.6894486546516418,0.5445430874824524,0.6841672658920288,0.5639198422431946
3,0.6804004907608032,0.5751933455467224,0.692039430141449,0.5131403207778931
4,0.6892642378807068,0.5350902080535889,0.6622535586357117,0.6632516980171204
5,0.6705278754234314,0.6105222702026367,0.6921801567077637,0.5020044445991516
6,0.6913772225379944,0.5352811813354492,0.6904006600379944,0.530512273311615
7,0.6874781847000122,0.546930193901062,0.6910153031349182,0.531403124332428
8,0.684630274772644,0.5626850128173828,0.6894039511680603,0.5211581587791443
9,0.6435261368751526,0.6273274421691895,0.5195391774177551,0.7683741450309753
10,0.5712615847587585,0.7299723029136658,0.6430644392967224,0.6378619074821472
11,0.6096311211585999,0.6695311665534973,0.6168686151504517,0.6623607873916626
12,0.5882796049118042,0.7083930373191833,0.5672931671142578,0.7331848740577698
13,0.5325507521629333,0.7685477137565613,0.48700568079948425,0.7897549867630005
14,0.49578696489334106,0.7825837731361389,0.46703389286994934,0.7902004718780518
15,0.4836169183254242,0.7936598658561707,0.468840092420578,0.7964365482330322
16,0.4826469123363495,0.795378565788269,0.4786337912082672,0.7906458973884583
17,0.4639876186847687,0.8000572919845581,0.4364244341850281,0.8120267391204834
18,0.4641265571117401,0.8026353716850281,0.4430433511734009,0.8062360882759094
19,0.4470791816711426,0.8072185516357422,0.43045008182525635,0.8080177903175354
20,0.4356245994567871,0.8186765909194946,0.4137784540653229,0.8155902028083801
21,0.436191201210022,0.8177217841148376,0.4098585247993469,0.8182628154754639
22,0.4300691485404968,0.819822371006012,0.40432190895080566,0.8285077810287476
23,0.4274556636810303,0.8216366171836853,0.4118371307849884,0.8271715044975281
24,0.41921594738960266,0.828606903553009,0.41369450092315674,0.8244988918304443
25,0.41435006260871887,0.8323307633399963,0.41140422224998474,0.832962155342102
26,0.4117487967014313,0.8322352766990662,0.41053593158721924,0.8298441171646118
27,0.40638771653175354,0.8356726765632629,0.399181991815567,0.8244988918304443
28,0.41083553433418274,0.8333810567855835,0.3976998031139374,0.8276169300079346
29,0.40146133303642273,0.8395875096321106,0.4073093831539154,0.8249443173408508
30,0.3969021737575531,0.8368184566497803,0.3934372663497925,0.8374164700508118
31,0.3949151039123535,0.840351402759552,0.3945518434047699,0.8391982316970825
32,0.38764309883117676,0.8448390960693359,0.3797712028026581,0.8351892828941345
33,0.3905002474784851,0.8437888026237488,0.39277422428131104,0.8374164700508118
34,0.3856157660484314,0.8470352292060852,0.37834906578063965,0.8418708443641663
35,0.38010308146476746,0.8474171757698059,0.3844654858112335,0.8409799337387085
36,0.3819197118282318,0.845984935760498,0.39729729294776917,0.8383073210716248
37,0.39493295550346375,0.8414016962051392,0.42921265959739685,0.8236080408096313
38,0.37989893555641174,0.8449345827102661,0.37690794467926025,0.8481069207191467
39,0.38020059466362,0.8490403890609741,0.37349143624305725,0.8467705845832825
40,0.3715117275714874,0.8540055155754089,0.3765117824077606,0.8432071208953857
41,0.365205317735672,0.8572520017623901,0.37125250697135925,0.8409799337387085
42,0.3786596357822418,0.8511410355567932,0.38881006836891174,0.84454345703125
43,0.37016627192497253,0.8532416820526123,0.376606285572052,0.8489977717399597
44,0.3647013306617737,0.8563926219940186,0.380826473236084,0.8481069207191467
45,0.3657348155975342,0.8524777889251709,0.3889414966106415,0.847216010093689
46,0.3583117723464966,0.8558197021484375,0.3904419243335724,0.839643657207489
47,0.35421544313430786,0.858684241771698,0.36718952655792236,0.8498886227607727
48,0.34545767307281494,0.862790048122406,0.35824963450431824,0.8587973117828369
49,0.34025728702545166,0.8668003678321838,0.3634912669658661,0.8543429970741272
50,0.3398089110851288,0.8646042346954346,0.357546329498291,0.8534520864486694
51,0.33291763067245483,0.8710016012191772,0.3546883761882782,0.8525612354278564
52,0.32740116119384766,0.871383547782898,0.35350415110588074,0.8534520864486694
53,0.33864569664001465,0.8676596879959106,0.3514987528324127,0.8579064607620239
54,0.3309127390384674,0.8709061145782471,0.3566199839115143,0.8547884225845337
55,0.3182069957256317,0.875489354133606,0.3600248396396637,0.8534520864486694
56,0.31423047184944153,0.8794996738433838,0.35874462127685547,0.8530066609382629
57,0.3121775984764099,0.879595160484314,0.3615857660770416,0.8494431972503662
58,0.32285332679748535,0.8752028942108154,0.38337305188179016,0.8400890827178955
59,0.310829758644104,0.8814093470573425,0.36636048555374146,0.8432071208953857
