,fpr,tpr,thresholds
0,0.0,0.0,1.5637836
1,0.0,2.0857667278491573e-05,0.5637836
2,2.0848100738022766e-05,2.0857667278491573e-05,0.56169707
3,2.0848100738022766e-05,4.171533455698315e-05,0.5530236
4,6.25443022140683e-05,4.171533455698315e-05,0.54019684
5,6.25443022140683e-05,6.257300183547472e-05,0.5399881
6,8.339240295209106e-05,6.257300183547472e-05,0.5373928
7,8.339240295209106e-05,8.34306691139663e-05,0.53699476
8,0.00014593670516615937,8.34306691139663e-05,0.53581685
9,0.00014593670516615937,0.00010428833639245786,0.5355249
10,0.00018763290664220488,0.00010428833639245786,0.5347286
11,0.00018763290664220488,0.00012514600367094945,0.53438365
12,0.00020848100738022767,0.00012514600367094945,0.53435034
13,0.00020848100738022767,0.00020857667278491573,0.53337836
14,0.00022932910811825042,0.00020857667278491573,0.53334844
15,0.00022932910811825042,0.0002294343400634073,0.5333472
16,0.0002501772088562732,0.0002294343400634073,0.53259
17,0.0002501772088562732,0.00027114967462039046,0.53234726
18,0.00027102530959429593,0.00027114967462039046,0.53223693
19,0.00027102530959429593,0.0003128650091773736,0.5319025
20,0.00029187341033231874,0.0003128650091773736,0.5318943
21,0.00029187341033231874,0.0003337226764558652,0.5318305
22,0.0003127215110703415,0.0003337226764558652,0.5317744
23,0.0003127215110703415,0.00035458034373435674,0.5317644
24,0.00033356961180836426,0.00035458034373435674,0.5317087
25,0.00033356961180836426,0.0003754380110128483,0.5316915
26,0.00037526581328440977,0.0003754380110128483,0.5315979
27,0.00037526581328440977,0.0003962956782913399,0.53157353
28,0.0003961139140224326,0.0003962956782913399,0.5315671
29,0.0003961139140224326,0.00041715334556983145,0.5315132
30,0.0004378101154984781,0.00041715334556983145,0.53145397
31,0.0004378101154984781,0.000438011012848323,0.5314514
32,0.00045865821623650084,0.000438011012848323,0.53134227
33,0.00045865821623650084,0.0005422993492407809,0.5310151
34,0.0004795063169745236,0.0005422993492407809,0.5309478
35,0.0004795063169745236,0.0006048723510762556,0.5308801
36,0.0005212025184505692,0.0006048723510762556,0.53080064
37,0.0005212025184505692,0.0006883030201902219,0.53067786
38,0.0005628987199266147,0.0006883030201902219,0.5304171
39,0.0005628987199266147,0.0007091606874687135,0.53039795
40,0.0006045949214026602,0.0007091606874687135,0.53032315
41,0.0006045949214026602,0.0007508760220256966,0.5302868
42,0.000625443022140683,0.0007508760220256966,0.5302582
43,0.000625443022140683,0.0007925913565826798,0.5302395
44,0.0006671392236167285,0.0007925913565826798,0.5300677
45,0.0006671392236167285,0.0008343066911396629,0.52995855
46,0.0006879873243547513,0.0008343066911396629,0.52992034
47,0.0006879873243547513,0.0009177373602536292,0.5297888
48,0.000708835425092774,0.0009177373602536292,0.5297864
49,0.000708835425092774,0.0010220256966460871,0.52954453
50,0.0007296835258307968,0.0010220256966460871,0.5295361
51,0.0007296835258307968,0.0010428833639245787,0.5295358
52,0.0008130759287828879,0.0010428833639245787,0.5294192
53,0.0008130759287828879,0.0010845986984815619,0.5293836
54,0.0008756202309969562,0.0010845986984815619,0.52931637
55,0.0008756202309969562,0.0011471717003170366,0.5293012
56,0.0009173164324730017,0.0011471717003170366,0.5292812
57,0.0009173164324730017,0.0011680293675955281,0.5292678
58,0.0009381645332110245,0.0011680293675955281,0.5292059
59,0.0009381645332110245,0.0012097447021525113,0.5291616
60,0.00097986073468707,0.0012097447021525113,0.5291345
61,0.00097986073468707,0.0012306023694310028,0.5290992
62,0.0010007088354250927,0.0012306023694310028,0.52909505
63,0.0010007088354250927,0.0012514600367094944,0.5290891
64,0.0010215569361631156,0.0012514600367094944,0.5290843
65,0.0010215569361631156,0.0013140330385449691,0.52901983
66,0.0010424050369011383,0.0013140330385449691,0.5289666
67,0.0010424050369011383,0.0013557483731019523,0.5289504
68,0.0011257974398532294,0.0013557483731019523,0.5289351
69,0.0011257974398532294,0.0013766060403804438,0.5289294
70,0.001146645540591252,0.0013766060403804438,0.52888745
71,0.001146645540591252,0.0013974637076589354,0.5288575
72,0.001167493641329275,0.0013974637076589354,0.52884257
73,0.001167493641329275,0.0014391790422159185,0.5287881
74,0.0012091898428053204,0.0014391790422159185,0.5287448
75,0.0012091898428053204,0.0014808943767729017,0.5287279
76,0.0012300379435433433,0.0014808943767729017,0.5287119
77,0.0012300379435433433,0.0015434673786083764,0.52867836
78,0.001250886044281366,0.0015434673786083764,0.52867174
79,0.001250886044281366,0.001606040380443851,0.52862936
80,0.0012717341450193887,0.001606040380443851,0.5286269
81,0.0012717341450193887,0.0016268980477223427,0.52861047
82,0.0012925822457574114,0.0016268980477223427,0.52859926
83,0.0012925822457574114,0.0016686133822793258,0.5285553
84,0.0013551265479714797,0.0016686133822793258,0.52851236
85,0.0013551265479714797,0.0016894710495578174,0.52850246
86,0.0013968227494475253,0.0016894710495578174,0.52848315
87,0.0013968227494475253,0.001710328716836309,0.52847743
88,0.001438518950923571,0.001710328716836309,0.52844316
89,0.001438518950923571,0.001752044051393292,0.52843654
90,0.0014802151523996164,0.001752044051393292,0.52838266
91,0.0014802151523996164,0.0017937593859502752,0.52835757
92,0.001501063253137639,0.0017937593859502752,0.5283142
93,0.001501063253137639,0.0018354747205072584,0.52830386
94,0.001521911353875662,0.0018354747205072584,0.5283007
95,0.001521911353875662,0.00185633238778575,0.52829975
96,0.0015636075553517074,0.00185633238778575,0.5282954
97,0.0015636075553517074,0.0018771900550642415,0.5282864
98,0.0016469999583037986,0.0018771900550642415,0.5282682
99,0.0016469999583037986,0.0019397630568997164,0.5282636
