loss,accuracy,val_loss,val_accuracy
0.7107495665550232,0.47887325286865234,0.6666290760040283,0.75
0.6215146780014038,0.7746478915214539,0.60838782787323,1.0
0.5361751317977905,0.9295774698257446,0.5478816032409668,1.0
0.4501645267009735,0.9154929518699646,0.4814589023590088,1.0
0.35836341977119446,0.98591548204422,0.4209184944629669,1.0
0.2737165093421936,0.9718309640884399,0.36773157119750977,1.0
0.19494621455669403,1.0,0.3217621445655823,1.0
0.15801072120666504,1.0,0.28429171442985535,1.0
0.10938721895217896,1.0,0.2525159418582916,1.0
0.09818510711193085,1.0,0.22682780027389526,1.0
0.06126033142209053,1.0,0.2070910930633545,1.0
0.053485509008169174,1.0,0.19084975123405457,1.0
0.04601085186004639,1.0,0.17777328193187714,1.0
0.03428627923130989,1.0,0.1670885682106018,1.0
0.028525913134217262,1.0,0.1547032594680786,1.0
0.022432394325733185,1.0,0.1465112566947937,1.0
0.02044272981584072,1.0,0.1420656144618988,1.0
0.01655779406428337,1.0,0.1393650621175766,1.0
0.013702177442610264,1.0,0.1354629397392273,1.0
0.011367530561983585,1.0,0.13151885569095612,1.0
0.010337306186556816,1.0,0.12656953930854797,1.0
0.011769939213991165,1.0,0.11941459774971008,1.0
0.007763788569718599,1.0,0.11396389454603195,1.0
0.007974380627274513,1.0,0.11054188758134842,1.0
0.00762962456792593,1.0,0.10815820097923279,1.0
0.00783525500446558,1.0,0.10629918426275253,1.0
0.006310449913144112,1.0,0.10503826290369034,1.0
0.0060438793152570724,1.0,0.10416294634342194,1.0
0.0050004166550934315,1.0,0.10365965217351913,1.0
0.005666574463248253,1.0,0.10287536680698395,1.0
