epoch,loss,accuracy,val_loss,val_accuracy
0,0.693942785,0.689129353,0.422558725,0.855153203
1,0.265183866,0.936055064,0.216197744,0.952646255
2,0.14210327,0.967043757,0.186588362,0.949860752
3,0.108546369,0.969503224,0.16176787,0.955431759
4,0.085266188,0.977373362,0.160368934,0.958217263
5,0.053393152,0.987702906,0.155253962,0.955431759
6,0.046508282,0.988686681,0.158082187,0.955431759
7,0.039765686,0.990162313,0.171320409,0.949860752
8,0.034558475,0.991637945,0.193951637,0.947075188
9,0.025376797,0.993605494,0.187089294,0.947075188
10,0.034150574,0.99065423,0.174387753,0.958217263
11,0.025902089,0.991146088,0.200514838,0.947075188
12,0.018828893,0.996556818,0.192949846,0.949860752
13,0.015878495,0.996556818,0.196372703,0.949860752
14,0.017743852,0.996064901,0.196573839,0.949860752
15,0.017905848,0.996556818,0.218082041,0.947075188
16,0.013585291,0.997540593,0.191495344,0.947075188
17,0.010179723,0.996064901,0.212789759,0.949860752
18,0.013666818,0.996556818,0.197970167,0.955431759
19,0.015173933,0.996064901,0.213656962,0.944289684
20,0.021845438,0.992129862,0.202593073,0.949860752
21,0.013249285,0.995573044,0.25111109,0.949860752
22,0.014736737,0.996556818,0.23476252,0.947075188
23,0.014971782,0.995081186,0.246205255,0.949860752
24,0.020489255,0.99262172,0.283352703,0.933147609
25,0.014158552,0.995081186,0.23106268,0.949860752
26,0.01622152,0.994589269,0.235830426,0.949860752
27,0.012346515,0.995081186,0.24466303,0.94150418
28,0.015684135,0.995081186,0.231668621,0.955431759
29,0.013129569,0.995573044,0.229228005,0.958217263
