epoch,accuracy,loss,val_accuracy,val_loss
0,0.5333638191223145,0.6864619255065918,0.6276811361312866,0.6427074074745178
1,0.645682692527771,0.629901647567749,0.687101423740387,0.5838987827301025
2,0.6874141693115234,0.5874415040016174,0.717391312122345,0.5544119477272034
3,0.7070862054824829,0.5624396204948425,0.7259420156478882,0.5365195274353027
4,0.7216857075691223,0.5446523427963257,0.7310144901275635,0.5282435417175293
5,0.733264684677124,0.5285140872001648,0.7347826361656189,0.5253991484642029
6,0.7428908944129944,0.5148134827613831,0.7308695912361145,0.5309518575668335
7,0.7481846213340759,0.5067695379257202,0.7291304469108582,0.5301165580749512
8,0.7559191584587097,0.4959496557712555,0.7562319040298462,0.494213730096817
9,0.7632418274879456,0.484389066696167,0.7623188495635986,0.48906999826431274
10,0.768764317035675,0.4761340320110321,0.7347826361656189,0.5354666113853455
11,0.7717620134353638,0.47102683782577515,0.760724663734436,0.48671844601631165
12,0.777841329574585,0.46259039640426636,0.7653623223304749,0.4875781834125519
13,0.7805644273757935,0.4574131369590759,0.7592753767967224,0.49785321950912476
14,0.7839435338973999,0.45219680666923523,0.7588405609130859,0.4983074367046356
15,0.7901372909545898,0.442955881357193,0.7613043189048767,0.4900689721107483
16,0.7935469150543213,0.4362255334854126,0.7473912835121155,0.5183389186859131
17,0.7988405823707581,0.4292442500591278,0.7355072498321533,0.533381998538971
18,0.8012509346008301,0.42279326915740967,0.7630434632301331,0.4968706965446472
19,0.8066590428352356,0.4136701226234436,0.7602898478507996,0.5074787735939026
20,0.8130892515182495,0.40298783779144287,0.7505797147750854,0.5196160674095154
21,0.8184134364128113,0.3925219774246216,0.7491304278373718,0.5423368215560913
22,0.8242868185043335,0.38170570135116577,0.7484058141708374,0.544582724571228
23,0.829336404800415,0.3722764849662781,0.7417391538619995,0.5700377821922302
24,0.8351182341575623,0.3617360591888428,0.7472463846206665,0.5797420740127563
25,0.8419984579086304,0.3496411144733429,0.735942006111145,0.617956817150116
26,0.8461784720420837,0.3399905264377594,0.7344927787780762,0.6115846633911133
27,0.8510907888412476,0.3310028314590454,0.7346376776695251,0.6313916444778442
28,0.8558886051177979,0.32206496596336365,0.7398550510406494,0.6320322155952454
29,0.8591457009315491,0.3146478533744812,0.7472463846206665,0.6450383067131042
30,0.8630892634391785,0.3067089021205902,0.7437680959701538,0.6489320993423462
31,0.8699847459793091,0.294060081243515,0.7278260588645935,0.6787441968917847
32,0.8733943700790405,0.28537577390670776,0.7331883907318115,0.6819016337394714
33,0.879328727722168,0.2731541693210602,0.7328985333442688,0.7084149122238159
34,0.8854919672012329,0.2633727490901947,0.7231884002685547,0.7220292091369629
35,0.8908619284629822,0.25274157524108887,0.7259420156478882,0.7613710165023804
36,0.893241822719574,0.2447510063648224,0.7265217304229736,0.78819340467453
37,0.8963767886161804,0.2394099235534668,0.722753643989563,0.839097261428833
38,0.8963234424591064,0.24043186008930206,0.7230435013771057,0.829912543296814
39,0.8998627066612244,0.23409877717494965,0.7168115973472595,0.8235931396484375
40,0.8988177180290222,0.2347603589296341,0.719420313835144,0.8735072016716003
41,0.9036765694618225,0.22681133449077606,0.7198550701141357,0.9363305568695068
42,0.9086117744445801,0.2133401781320572,0.7130434513092041,0.9783729910850525
43,0.9159191250801086,0.19935761392116547,0.7131884098052979,0.9854660630226135
44,0.92069411277771,0.18895183503627777,0.7095652222633362,1.0403791666030884
45,0.9229443073272705,0.18363206088542938,0.7049275636672974,1.0351104736328125
46,0.9159725308418274,0.2009277194738388,0.7011594176292419,1.112987756729126
47,0.9259191751480103,0.17872855067253113,0.7092753648757935,1.0595089197158813
48,0.9272463917732239,0.1757490634918213,0.711884081363678,1.0424840450286865
49,0.9313730001449585,0.16712798178195953,0.70652174949646,1.0708982944488525
