ovr,fpr,tpr,thresholds
0,0.0,0.0,1.999976
0,0.0,0.005208333333333333,0.99997604
0,0.0,0.140625,0.99971884
0,0.0,0.15104166666666666,0.9997116
0,0.0,0.6145833333333334,0.9895766
0,0.0016501650165016502,0.6145833333333334,0.9894812
0,0.0016501650165016502,0.625,0.98878866
0,0.0016501650165016502,0.6354166666666666,0.9886708
0,0.0016501650165016502,0.671875,0.9865196
0,0.0016501650165016502,0.6875,0.9864314
0,0.0016501650165016502,0.7239583333333334,0.9822365
0,0.0016501650165016502,0.734375,0.98182523
0,0.0016501650165016502,0.7447916666666666,0.9817665
0,0.0033003300330033004,0.7447916666666666,0.9791179
0,0.0033003300330033004,0.7864583333333334,0.96750253
0,0.0049504950495049506,0.7864583333333334,0.96585333
0,0.0049504950495049506,0.796875,0.96110654
0,0.006600660066006601,0.796875,0.9610509
0,0.006600660066006601,0.84375,0.91132885
0,0.00825082508250825,0.84375,0.90961504
0,0.00825082508250825,0.875,0.8332579
0,0.01155115511551155,0.875,0.8146771
0,0.01155115511551155,0.8958333333333334,0.7580776
0,0.013201320132013201,0.8958333333333334,0.725718
0,0.013201320132013201,0.9010416666666666,0.72463614
0,0.01485148514851485,0.9010416666666666,0.7037356
0,0.01485148514851485,0.9270833333333334,0.66589826
0,0.018151815181518153,0.9270833333333334,0.6201799
0,0.018151815181518153,0.9322916666666666,0.6096558
0,0.0231023102310231,0.9322916666666666,0.56412953
0,0.0231023102310231,0.9479166666666666,0.42021087
0,0.024752475247524754,0.9479166666666666,0.38245514
0,0.024752475247524754,0.953125,0.35343477
0,0.026402640264026403,0.953125,0.27145374
0,0.026402640264026403,0.96875,0.13632132
0,0.034653465346534656,0.96875,0.10107108
0,0.034653465346534656,0.9739583333333334,0.09368299
0,0.037953795379537955,0.9739583333333334,0.08204124
0,0.037953795379537955,0.9791666666666666,0.08082608
0,0.039603960396039604,0.9791666666666666,0.07898177
0,0.039603960396039604,0.984375,0.07724129
0,0.041254125412541254,0.984375,0.061830346
0,0.041254125412541254,0.9895833333333334,0.05965129
0,0.10726072607260725,0.9895833333333334,0.006943498
0,0.10726072607260725,0.9947916666666666,0.00677898
0,0.14026402640264027,0.9947916666666666,0.003660161
0,0.14356435643564355,0.9947916666666666,0.0036268283
0,0.31683168316831684,0.9947916666666666,0.0007955864
0,0.3201320132013201,0.9947916666666666,0.0007945759
0,0.5132013201320133,0.9947916666666666,0.00025394568
0,0.5132013201320133,1.0,0.00025378793
0,0.5181518151815182,1.0,0.00025301677
0,0.5214521452145214,1.0,0.00024915332
0,0.6452145214521452,1.0,0.00011742537
0,0.6485148514851485,1.0,0.00011720132
0,0.7425742574257426,1.0,7.1130715e-05
0,0.7458745874587459,1.0,6.9675036e-05
0,0.7656765676567657,1.0,6.551901e-05
0,0.768976897689769,1.0,6.4910564e-05
0,0.7755775577557755,1.0,6.338184e-05
0,0.7788778877887789,1.0,6.3169144e-05
0,0.8333333333333334,1.0,4.6286186e-05
0,0.8366336633663366,1.0,4.554912e-05
0,0.900990099009901,1.0,3.1603846e-05
0,0.9042904290429042,1.0,3.153879e-05
