fpr,tpr,thresholds
0.0,0.0,1.9999762
0.0,1.5234613040828762e-05,0.99997616
0.0,0.002498476538695917,0.9993538
0.0,0.0025289457647775745,0.9993517
0.0,0.0031840341255332115,0.99920565
0.0,0.003214503351614869,0.99919254
0.0,0.004829372333942718,0.9988667
0.0,0.004859841560024375,0.9988649
0.0,0.004981718464351005,0.9988319
0.0,0.005012187690432663,0.99883
0.0,0.005240706886045094,0.99877566
0.0,0.005271176112126752,0.9987747
0.0,0.0065508836075563685,0.9984692
0.0,0.006581352833638025,0.9984666
0.0,0.007251675807434491,0.9982888
0.0,0.0072821450335161485,0.9982851
0.0,0.007678244972577696,0.9981659
0.0,0.007708714198659354,0.9981639
0.0,0.008226691042047532,0.9979547
0.0,0.00825716026812919,0.99795294
0.0,0.008302864107251676,0.9979411
0.0,0.008333333333333333,0.99794084
0.0,0.008805606337599026,0.99783915
0.0,0.008836075563680683,0.99783367
0.0,0.00949116392443632,0.9976463
0.0,0.009521633150517976,0.9976427
0.0,0.010191956124314443,0.997456
0.0,0.0102224253503961,0.9974496
0.0,0.010481413772090189,0.997382
1.527650473571647e-05,0.010481413772090189,0.9973802
1.527650473571647e-05,0.011151736745886655,0.99717355
1.527650473571647e-05,0.011182205971968312,0.99717134
1.527650473571647e-05,0.013741620962827545,0.9964212
3.055300947143294e-05,0.013741620962827545,0.9964192
3.055300947143294e-05,0.01403107861060329,0.99628
4.5829514207149406e-05,0.01403107861060329,0.9962786
4.5829514207149406e-05,0.015127970749542962,0.9958746
4.5829514207149406e-05,0.015158439975624619,0.99586177
4.5829514207149406e-05,0.015843997562461912,0.99555886
6.110601894286588e-05,0.015843997562461912,0.99555796
6.110601894286588e-05,0.016102985984156003,0.9954118
6.110601894286588e-05,0.01613345521023766,0.9954015
6.110601894286588e-05,0.01672760511882998,0.9951504
7.638252367858234e-05,0.01672760511882998,0.9951422
7.638252367858234e-05,0.016819012797074956,0.99507964
7.638252367858234e-05,0.01684948202315661,0.99506664
7.638252367858234e-05,0.01701706276660573,0.9949811
7.638252367858234e-05,0.017047531992687385,0.9949791
7.638252367858234e-05,0.01735222425350396,0.9948606
9.165902841429881e-05,0.01735222425350396,0.99485344
9.165902841429881e-05,0.019363193174893358,0.9940924
9.165902841429881e-05,0.019393662400975016,0.994089
9.165902841429881e-05,0.01946983546617916,0.99407285
0.00010693553315001527,0.01946983546617916,0.99406874
0.00010693553315001527,0.019911639244363195,0.9938293
0.00012221203788573176,0.019911639244363195,0.9938216
0.00012221203788573176,0.020231566118220596,0.9937063
0.00012221203788573176,0.020262035344302255,0.9936799
0.00012221203788573176,0.02059719683120049,0.99353653
0.00013748854262144822,0.02059719683120049,0.9935341
0.00013748854262144822,0.020901889092017064,0.9934496
0.00013748854262144822,0.02093235831809872,0.9934435
0.00013748854262144822,0.02105423522242535,0.99340266
0.00013748854262144822,0.02108470444850701,0.99338067
0.00013748854262144822,0.021907373552711763,0.9930947
0.00015276504735716468,0.021907373552711763,0.99307853
0.00015276504735716468,0.02192260816575259,0.99307793
0.00016804155209288114,0.02192260816575259,0.9930728
0.00016804155209288114,0.02227300426569165,0.99293655
0.00018331805682859762,0.02227300426569165,0.99293464
0.00018331805682859762,0.02262340036563071,0.9927912
0.00019859456156431408,0.02262340036563071,0.9927769
0.00019859456156431408,0.022821450335161485,0.9927021
0.00019859456156431408,0.022851919561243144,0.9927013
0.00019859456156431408,0.02362888482632541,0.9923448
0.00019859456156431408,0.02365935405240707,0.99234325
0.00019859456156431408,0.023842169408897013,0.9922822
0.00021387106630003054,0.023842169408897013,0.9922799
0.00021387106630003054,0.023872638634978672,0.99227035
0.00021387106630003054,0.025335161486898232,0.991618
0.00022914757103574703,0.025335161486898232,0.99159664
0.00022914757103574703,0.025548446069469835,0.9915319
0.0002444240757714635,0.025548446069469835,0.99152464
0.0002444240757714635,0.027559414990859232,0.9905668
0.00025970058050717995,0.027559414990859232,0.9905522
0.00025970058050717995,0.02842778793418647,0.9901534
0.00025970058050717995,0.02845825716026813,0.99014294
0.00025970058050717995,0.02870201096892139,0.99001807
0.00025970058050717995,0.028732480195003046,0.99001455
0.00025970058050717995,0.02882388787324802,0.9899923
0.00025970058050717995,0.028854357099329677,0.9899899
0.00025970058050717995,0.02906764168190128,0.98987573
0.00025970058050717995,0.02909811090798294,0.9898645
0.00025970058050717995,0.029448507007922,0.9896998
0.00027497708524289643,0.029448507007922,0.9896986
0.00027497708524289643,0.030636806825106642,0.9891418
0.00029025358997861287,0.030636806825106642,0.98913085
0.00029025358997861287,0.03068251066422913,0.9891067
0.00029025358997861287,0.030712979890310785,0.98910135
0.00029025358997861287,0.031642291285801344,0.98863554
0.00029025358997861287,0.031672760511882996,0.98861897
