epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.5234477519989014,0.5404230356216431,0.6882871985435486,0.5931884050369263,0.6733878254890442,0.6660254001617432
1,0.6413577198982239,0.6963544487953186,0.630561113357544,0.662028968334198,0.7419955730438232,0.6148005723953247
2,0.6740808486938477,0.7397414445877075,0.598615825176239,0.6795651912689209,0.7662544846534729,0.5948962569236755
3,0.6929214596748352,0.762198805809021,0.5793971419334412,0.7092753648757935,0.7814218401908875,0.5620809197425842
4,0.7082608938217163,0.7822828888893127,0.5598857402801514,0.7117391228675842,0.7917495369911194,0.558757483959198
5,0.7194432020187378,0.7949461340904236,0.5463891625404358,0.7124637961387634,0.7969908118247986,0.5550374388694763
6,0.727993905544281,0.8054754734039307,0.5346273183822632,0.728405773639679,0.8034695386886597,0.5371332764625549
7,0.7349656820297241,0.8136740922927856,0.5250339508056641,0.722753643989563,0.8069078326225281,0.5486093759536743
8,0.7431350350379944,0.8219850659370422,0.5151482224464417,0.7355072498321533,0.8081964254379272,0.5341612696647644
9,0.7465293407440186,0.826511800289154,0.5094538331031799,0.7350724935531616,0.8112393617630005,0.5313722491264343
10,0.7519984841346741,0.8334829211235046,0.5005383491516113,0.7324637770652771,0.8121582269668579,0.5371286869049072
11,0.755476713180542,0.8375715613365173,0.49551621079444885,0.7176811695098877,0.8130916953086853,0.5531188249588013
12,0.7602669596672058,0.8426008820533752,0.48883646726608276,0.7363768219947815,0.8144797682762146,0.5298055410385132
13,0.7639816999435425,0.8472385406494141,0.48232871294021606,0.7300000190734863,0.8135690093040466,0.5424093008041382
14,0.7679710388183594,0.8510066866874695,0.4773421287536621,0.733768105506897,0.8139736652374268,0.537977397441864
15,0.7710678577423096,0.8549253344535828,0.47167134284973145,0.7300000190734863,0.8115045428276062,0.5488782525062561
16,0.7742257714271545,0.857270359992981,0.4684484302997589,0.735797107219696,0.8115471601486206,0.5434219241142273
17,0.7781311869621277,0.8618612885475159,0.4615955352783203,0.7366666793823242,0.811750054359436,0.5473934412002563
18,0.7791609168052673,0.8639762997627258,0.4582272171974182,0.7407246232032776,0.8118067383766174,0.5513743162155151
19,0.7832723259925842,0.8668969869613647,0.45401713252067566,0.7384058237075806,0.8110678791999817,0.5453848242759705
20,0.785377562046051,0.8683852553367615,0.4518516957759857,0.717536211013794,0.8089757561683655,0.5828429460525513
21,0.7872464060783386,0.8701267838478088,0.4489447772502899,0.7320289611816406,0.8100846409797668,0.5565878748893738
22,0.7893211245536804,0.8731771111488342,0.4443259835243225,0.7110145092010498,0.809354841709137,0.5934094786643982
23,0.7893821597099304,0.8736076951026917,0.44321388006210327,0.7324637770652771,0.80906081199646,0.5628846883773804
24,0.7929824590682983,0.8776214718818665,0.4368293583393097,0.7275362610816956,0.8091728091239929,0.5705692768096924
25,0.7973836660385132,0.8806541562080383,0.43195685744285583,0.7255072593688965,0.810167133808136,0.5905143022537231
26,0.7960945963859558,0.8804783225059509,0.43212705850601196,0.7311594486236572,0.8086230754852295,0.5706825852394104
27,0.800061047077179,0.8840204477310181,0.42645949125289917,0.7239130139350891,0.8074793815612793,0.5846858024597168
28,0.8005339503288269,0.8844597339630127,0.42533546686172485,0.7314492464065552,0.8096766471862793,0.5692578554153442
29,0.8033028244972229,0.8869543671607971,0.4213109314441681,0.7317391037940979,0.808982789516449,0.5613241791725159
